,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9984301412872841,1.0,0.9992144540455618,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9767441860465116,0.9545454545454546,0.9655172413793104,44.0
C2LOP.P,0.8,0.8695652173913043,0.8333333333333333,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,0.9736842105263158,1.0,0.9866666666666666,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.8461538461538461,0.6875,0.7586206896551724,32.0
Swizzor.gen!I,0.52,0.6842105263157895,0.5909090909090909,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,0.9629629629629629,1.0,0.9811320754716981,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9866167023554604,0.9866167023554604,0.9866167023554604,0.9866167023554604
macro avg,0.9631190138790768,0.965041772879392,0.963195424798217,1868.0
weighted avg,0.9879007440836151,0.9866167023554604,0.9869557470277804,1868.0
