,precision,recall,f1-score,support
Adialer.C,1.0,0.92,0.9583333333333334,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9124087591240876,0.9827044025157232,0.9462528387585164,636.0
Allaple.L,0.9826989619377162,0.9692832764505119,0.9759450171821306,293.0
Alueron.gen!J,1.0,0.8409090909090909,0.9135802469135803,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.7941176470588235,0.6136363636363636,0.6923076923076923,44.0
C2LOP.P,0.35714285714285715,0.43478260869565216,0.39215686274509803,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,0.8918918918918919,0.9428571428571428,74.0
Lolyda.AA1,1.0,0.9487179487179487,0.9736842105263158,39.0
Lolyda.AA2,1.0,0.9459459459459459,0.9722222222222222,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,0.9666666666666667,0.983050847457627,30.0
Malex.gen!J,0.9230769230769231,0.41379310344827586,0.5714285714285715,29.0
Obfuscator.AD,1.0,0.8214285714285714,0.9019607843137255,28.0
Rbot!gen,1.0,0.8108108108108109,0.8955223880597014,37.0
Skintrim.N,1.0,0.7142857142857143,0.8333333333333333,7.0
Swizzor.gen!E,0.7083333333333334,0.53125,0.6071428571428571,32.0
Swizzor.gen!I,0.2222222222222222,0.42105263157894735,0.2909090909090909,19.0
VB.AT,0.8350515463917526,1.0,0.9101123595505618,81.0
Wintrim.BX,1.0,0.6153846153846154,0.761904761904762,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.923982869379015,0.923982869379015,0.923982869379015,0.923982869379015
macro avg,0.9094020900115086,0.8322899809887869,0.8601896195635991,1868.0
weighted avg,0.9334451411945376,0.923982869379015,0.9241788445502287,1868.0
