,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9845201238390093,1.0,0.9921996879875196,636.0
Allaple.L,0.9965986394557823,1.0,0.9982964224872232,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.8431372549019608,0.9772727272727273,0.9052631578947369,44.0
C2LOP.P,0.8695652173913043,0.8695652173913043,0.8695652173913043,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,0.9743589743589743,0.9870129870129869,39.0
Lolyda.AA2,0.9736842105263158,1.0,0.9866666666666666,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.7931034482758621,0.8846153846153846,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7,0.4375,0.5384615384615384,32.0
Swizzor.gen!I,0.4166666666666667,0.5263157894736842,0.46511627906976744,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,1.0,0.9230769230769231,0.9600000000000001,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9769807280513919,0.9769807280513919,0.9769807280513919,0.9769807280513919
macro avg,0.9513668845112416,0.9386359584880967,0.9427693307892336,1868.0
weighted avg,0.9773015105963494,0.9769807280513919,0.9761919079419256,1868.0
