,precision,recall,f1-score,support
Adialer.C,0.9615384615384616,1.0,0.9803921568627451,25.0
Agent.FYI,1.0,0.8888888888888888,0.9411764705882353,27.0
Allaple.A,0.9126365054602185,0.9198113207547169,0.9162098668754894,636.0
Allaple.L,0.9183673469387755,0.9215017064846417,0.919931856899489,293.0
Alueron.gen!J,0.8372093023255814,0.8181818181818182,0.8275862068965518,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.525,0.4772727272727273,0.5,44.0
C2LOP.P,0.32142857142857145,0.391304347826087,0.35294117647058826,23.0
Dialplatform.B,0.9230769230769231,0.972972972972973,0.9473684210526315,37.0
Dontovo.A,0.9722222222222222,1.0,0.9859154929577464,35.0
Fakerean,0.9534883720930233,0.9647058823529412,0.9590643274853802,85.0
Instantaccess,0.9565217391304348,0.8918918918918919,0.9230769230769231,74.0
Lolyda.AA1,0.8421052631578947,0.8205128205128205,0.8311688311688312,39.0
Lolyda.AA2,0.9393939393939394,0.8378378378378378,0.8857142857142858,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,0.7647058823529411,0.8666666666666667,0.8125,30.0
Malex.gen!J,0.3076923076923077,0.27586206896551724,0.29090909090909095,29.0
Obfuscator.AD,0.8666666666666667,0.9285714285714286,0.896551724137931,28.0
Rbot!gen,0.7837837837837838,0.7837837837837838,0.7837837837837838,37.0
Skintrim.N,0.5,1.0,0.6666666666666666,7.0
Swizzor.gen!E,0.5,0.40625,0.4482758620689655,32.0
Swizzor.gen!I,0.21739130434782608,0.2631578947368421,0.23809523809523808,19.0
VB.AT,0.8461538461538461,0.8148148148148148,0.830188679245283,81.0
Wintrim.BX,0.8636363636363636,0.7307692307692307,0.7916666666666666,26.0
Yuner.A,0.993006993006993,1.0,0.9964912280701755,142.0
accuracy,0.8731263383297645,0.8731263383297645,0.8731263383297645,0.8731263383297645
macro avg,0.7882410317762711,0.7989903241314252,0.7890269982277079,1868.0
weighted avg,0.8748708555825813,0.8731263383297645,0.8731573081287958,1868.0
