,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9984276729559748,0.9984276729559748,0.9984276729559748,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9333333333333333,0.9545454545454546,0.9438202247191012,44.0
C2LOP.P,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9764705882352941,0.988095238095238,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,0.9736842105263158,1.0,0.9866666666666666,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7619047619047619,0.5,0.6037735849056604,32.0
Swizzor.gen!I,0.4,0.631578947368421,0.4897959183673469,19.0
VB.AT,1.0,0.9876543209876543,0.9937888198757764,81.0
Wintrim.BX,0.9285714285714286,1.0,0.962962962962963,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9817987152034261,0.9817987152034261,0.9817987152034261,0.9817987152034261
macro avg,0.9528803345525421,0.9536112472797541,0.9510349674168538,1868.0
weighted avg,0.9840560984903373,0.9817987152034261,0.9821600045372127,1868.0
