,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9968652037617555,1.0,0.9984301412872841,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9512195121951219,0.8863636363636364,0.9176470588235294,44.0
C2LOP.P,0.75,0.782608695652174,0.7659574468085107,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,0.9880952380952381,0.9764705882352941,0.9822485207100591,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,0.9736842105263158,1.0,0.9866666666666666,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7368421052631579,0.4375,0.5490196078431372,32.0
Swizzor.gen!I,0.375,0.631578947368421,0.47058823529411764,19.0
VB.AT,1.0,0.9876543209876543,0.9937888198757764,81.0
Wintrim.BX,0.9285714285714286,1.0,0.962962962962963,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9791220556745182,0.9791220556745182,0.9791220556745182,0.9791220556745182
macro avg,0.9480111079365208,0.9467077371994596,0.9443906240249169,1868.0
weighted avg,0.9817832674881739,0.9791220556745182,0.9794046124674971,1868.0
