,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,1.0,1.0,1.0,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9130434782608695,0.9545454545454546,0.9333333333333332,44.0
C2LOP.P,0.7692307692307693,0.8695652173913043,0.8163265306122449,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7727272727272727,0.53125,0.6296296296296297,32.0
Swizzor.gen!I,0.46153846153846156,0.631578947368421,0.5333333333333333,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,0.9285714285714286,1.0,0.962962962962963,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9834047109207709,0.9834047109207709,0.9834047109207709,0.9834047109207709
macro avg,0.953804456413152,0.9566865097214972,0.9536031143346437,1868.0
weighted avg,0.9847460285734189,0.9834047109207709,0.9834716152846135,1868.0
