,precision,recall,f1-score,support
Adialer.C,1.0,0.92,0.9583333333333334,25.0
Agent.FYI,0.8928571428571429,0.9259259259259259,0.9090909090909091,27.0
Allaple.A,0.9248826291079812,0.9292452830188679,0.9270588235294117,636.0
Allaple.L,0.8865979381443299,0.8805460750853242,0.8835616438356164,293.0
Alueron.gen!J,0.9166666666666666,0.75,0.8250000000000001,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.40540540540540543,0.3409090909090909,0.37037037037037035,44.0
C2LOP.P,0.4090909090909091,0.391304347826087,0.4,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,0.9210526315789473,1.0,0.958904109589041,35.0
Fakerean,0.9534883720930233,0.9647058823529412,0.9590643274853802,85.0
Instantaccess,0.9594594594594594,0.9594594594594594,0.9594594594594594,74.0
Lolyda.AA1,0.875,0.8974358974358975,0.8860759493670887,39.0
Lolyda.AA2,0.8780487804878049,0.972972972972973,0.923076923076923,37.0
Lolyda.AA3,0.9090909090909091,1.0,0.9523809523809523,20.0
Lolyda.AT,0.75,0.7,0.7241379310344827,30.0
Malex.gen!J,0.6086956521739131,0.4827586206896552,0.5384615384615384,29.0
Obfuscator.AD,0.84375,0.9642857142857143,0.8999999999999999,28.0
Rbot!gen,0.8611111111111112,0.8378378378378378,0.8493150684931507,37.0
Skintrim.N,0.3125,0.7142857142857143,0.43478260869565216,7.0
Swizzor.gen!E,0.32142857142857145,0.28125,0.30000000000000004,32.0
Swizzor.gen!I,0.21739130434782608,0.2631578947368421,0.23809523809523808,19.0
VB.AT,0.8181818181818182,0.7777777777777778,0.7974683544303799,81.0
Wintrim.BX,0.6451612903225806,0.7692307692307693,0.7017543859649122,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.869914346895075,0.869914346895075,0.869914346895075,0.869914346895075
macro avg,0.772394423661936,0.7889235705532351,0.7758556770677536,1868.0
weighted avg,0.8704779360990357,0.869914346895075,0.8691678881646544,1868.0
