,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,1.0,1.0,1.0,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9767441860465116,0.9545454545454546,0.9655172413793104,44.0
C2LOP.P,0.8461538461538461,0.9565217391304348,0.8979591836734695,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9764705882352941,0.988095238095238,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,0.9736842105263158,1.0,0.9866666666666666,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.782608695652174,0.5625,0.6545454545454547,32.0
Swizzor.gen!I,0.46153846153846156,0.631578947368421,0.5333333333333333,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,0.9285714285714286,1.0,0.962962962962963,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9855460385438972,0.9855460385438972,0.9855460385438972,0.9855460385438972
macro avg,0.9587720331395495,0.9618853588263565,0.9588614488402925,1868.0
weighted avg,0.9868416298768823,0.9855460385438972,0.9856732519999687,1868.0
